"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
DF-186,Contract,"MINISTRY OF DEFENCE",Open,2024-09-09T12:39:54+01:00,"MOD Data Framework","This Procurement will establish a framework of multiple suppliers for the purchasing of supplier data.

The authority requires the purchase of data, in support of its Supply Chain Management, Development and Resilience activities. 
tender_460169/1394887,Pipeline,"Leidos Supply",Open,2024-08-30T14:42:57+01:00,"The Supply of Oils, Lubricants, Greases and Additives","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The General Supplies Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply ofof Oils, Lubricants, Greases and Additives on behalf of the UK MOD, consisting of 1 lot which will cover (but will not be limited to) Engine oils, Gear oils, Hydraulic fluids, Compressor oils, Anti-corrosion oils, De-icing agents, Water treatment chemicals and Fuel treatments.

The framework length should not exceed 4 years and is anticipated to commence 2026.

The value of this framework is estimated to be between £26.6m - £66.5m.

If interested, Suppliers must/may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","09211000 ","Miss Rhiannon Greenslade",rhiannon.greenslade@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Oils, Lubricants, Greases and Additives.",01/01/2026,01/01/2030,01/01/1,NO,,Yes,No,No,,33300000,66600000,,,,,,," ",
tender_460616/1395996,Pipeline,"Leidos Supply",Open,2024-08-20T16:09:27+01:00,"The Supply of Triage Cards","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The Leidos Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Triage Cards on behalf of the UK MOD. 

The framework length should not exceed 4 years, and is anticipated to commence in Mid 2025. 

The value of this framework is estimated to be between £380,000 -£960,000.

If interested, Suppliers must respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","33141000 ","Macy Johnson",macy.johnson248@teamleidos.mod.uk,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,"'+44 7799343 900",https://leidos-supply.app.jaggaer.com,,"sip.teamleidos.co.uk ","In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Triage Cards.",01/08/2025,31/07/2029,01/01/1,NO,,Yes,No,No,,380000,,,,,,,," ",
tender_459463/1393429,Pipeline,"Leidos Supply",Open,2024-08-16T15:05:50+01:00,"The Supply of Firefighting Equipment, Spares and Repairs / Supply of Dummies and Spares","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The General Supplies Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Firefighting Equipment, Spares and Repairs / Supply of Dummies and Spares on behalf of the UK MOD, consisting of multiple lots.

These Lots have not yet been finalised, however will cover (but will not be limited to);

First Aid 
Misc Equipment
Dummys
Two lots of historical spares for the support of in-service equipment
Foam Trolley
PFAS Free

The framework length should not exceed 4 years, and is anticipated to commence in 2025. 

The value of this framework is estimated to be between £7,000,000 - £20,000,000.

If interested, Suppliers must/may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","24951210 24951230 35000000 35110000 35111000 35111300 35111320 35111510 39525400 ",,roger.fernandes@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Firefighting Equipment, Spares and Repairs / Supply of Dummies and Spares.",01/09/2025,01/09/2029,01/01/1,NO,,Yes,No,No,,7000000,,,,,,,," ",
tender_458757/1391986,Pipeline,"Leidos Supply",Open,2024-08-12T13:16:23+01:00,"The Supply of Rock Salt","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The General Supplies team Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Rock Salt on behalf of the UK MOD, consisting of of 1 lot, which will cover (but will not be limited to) 3 set variations of Rock Salt quantities.

The framework length should not exceed 4 years, and is anticipated to commence in 2025. 

The value of this framework is estimated to be between £200,000 - £400,000.

If interested, Suppliers must/may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","14410000 ",,Gary.Watson@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Rock Salt.",05/09/2025,05/09/2029,01/01/1,NO,,Yes,No,No,,200000,400000,,,,,,," ",
tender_399408/1392412,Contract,"Leidos Supply",Open,2023-12-11T10:48:17Z,"The Supply of Pollution Control Sorbents","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos'). This requirement is subject to the Public Procurement Regulations and respective advertising action. 

The General Supplies Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Pollution Control Sorbents on behalf of the UK MOD

The total estimated value for this contract will be between £3,120,000 - £7,800,000, with a total contract length of 4 Years.

If this is of further interest, please register on our eProcurement system, Jaggaer:
https://leidos-supply.app.jaggaer.com/esop/guest/go/opportunity/detail?opportunityId=58566

Bidders will be able to register on the system, and once registered they can express their interest and complete their bid on there. Should Bidders have any queries regarding the system, please contact the support team on the front page of the Jaggaer website, where it says 'Need assistance?', for help. Any queries regarding the tender itself, as opposed to the system, should be directed through Jaggaer&apos;s messaging centre.",,,"Any region","80540000 90741200 ",,emile.sharpruddock@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com/esop/guest/go/opportunity/detail?opportunityId=58566,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it is inviting tenders for its supply and delivery of Pollution Control Sorbents. Leidos Supply Ltd is a wholly owned subsidiary of Leidos Europe Ltd, is undertaking this procurement as a subcontractor to Leidos Europe Ltd to meet a requirement of the UK Ministry of Defence pursuant to the logistics commodities and services transformation delivery partner contract (LCS(T)/0001 dated16.4.2015) between Leidos Europe Ltd and the UK Ministry of Defence. 

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd.",01/04/2025,29/06/2029,03/10/2024,YES,tender_399408/1284075,Yes,No,No,Products,3120000,7800000,,,,,,,"OpenOJEU ",,12:00
tender_455680/1385275,Pipeline,"Leidos Supply",Open,2024-07-22T10:32:48+01:00,"The Supply of Timber","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The General Supplies Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Timber on behalf of the UK MOD, consisting of one Lot.

The framework length should not exceed four years, and is anticipated to commence in early 2025. 

The value of this framework is estimated to be between £3,840,000 - £9,600,000.

If interested, Suppliers must/may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","03410000 03411000 03412000 03414000 03415000 03418100 03419000 03419100 44191000 44191100 44191200 44531100 ","Tim Light",tim.light@uk.leidos.com,"Monarch Court",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Timber.",19/08/2025,19/08/2029,01/01/1,NO,,Yes,No,No,,3840000,,,,,,,," ",
tender_444999/1370631,Pipeline,"Leidos Supply",Open,2024-07-08T11:56:43+01:00,"The Supply of Plastic, Rubber and Cork Sheeting","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The General Supplies Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Plastic, Rubber and Cork Sheeting on behalf of the UK MOD, consisting of Primary-form acrylic polymers, Primary-form polymers of ethylene, Primary-form polymers of propylene, Primary-form polymers of styrene, Primary-form of vinyl polymers, Primary-form polymers of vinyl acetate. 

The framework length should not exceed 4 years, and is anticipated to commence in 2025. 

The value of this framework is estimated to be between £800,000 - £2,000,000

If interested, Suppliers may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","24510000 24520000 24530000 24540000 24541000 24542000 ",,roger.fernandes@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Plastic, Rubber and Cork Sheeting.",21/07/2025,20/07/2029,01/01/1,NO,,Yes,No,No,,800000,2000000,,,,,,," ",
tender_442818/1365657,Pipeline,"Leidos Supply",Open,2024-06-14T15:01:39+01:00,"The Supply of Drag Stretchers","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The Medical Commercial Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Drag Stretchers on behalf of the UK MOD, consisting of one Lot.

The framework length should not exceed 4 years, and is anticipated to commence in late April 2025. 

The value of this framework is estimated to be between £380,000 - £500,000.

The system must provide a solution for battlefield casualty extraction, capable of being transported and applied in hostile conditions. It must protect the casualty from further environmental injury during extraction, whilst being capable of being carried or dragged safely by rescuers across a variety of terrains and obstacles. 

If interested, Suppliers must/may respond to this PIN [with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.",,,"Any region","33100000 ","Stuart Speer",stuartiain.speer@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,"'+44 7572545293",https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its supply and delivery of Drag Stretchers.",30/04/2025,29/04/2029,01/01/1,NO,,Yes,No,No,,380000,550000,,,,,,," ",
tender_429567/1336397,Pipeline,"Leidos Supply",Open,2024-03-28T08:38:25Z,"The Provision of Custom Made Orthotics","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos').
Team Leidos wishes to stimulate interest, information and views across the market for the fulfilment of this requirement via this PIN.

This prior information notice is not a means to submit a formal expression of interest in respect of any potential tender. Any resultant requirement will be subject to the Public Procurement Regulations and respective advertising action.

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd. 

The Medical Consumables Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the Provision of Custom Made Orthotics on behalf of the UK MOD, 

The current estimated value is £4,000,000. The framework length should not exceed 4 years, and is anticipated to commence in late 2025. 

If interested, Suppliers may respond to this PIN with basic details regarding their company (i.e. where you are based, where you source your goods, who you supply similar items for, etc.)].

Please note: this PIN is for information only (market research) and is not a pre-qualification exercise. 

In addition, please note that as a framework agreement there is no guarantee of business.

Team Leidos would like to make interested suppliers aware that we are considering the potential requirement for the Provision of Custom-Made Orthotics, with a view to awarding a contract that is due to commence during 2025 for a period of up to 4 years.

A bespoke (made to measure) service is required, with the provision of 3D digital scanning capability compatible with a tablet (Ipad) and supporting software for the duration of the agreement. The requirement will also include a need for Technical Support, Administrative Support and Training. 

The following materials would be used for the making of bespoke orthotics: 
∙ Polyurethane/EVA/Poly                                      ∙ 3D printed Nylon
∙ Carbon Fiber                                                      ∙ Performance RX/Direct Milled",,,"Any region","33141700 33141720 33141740 85111600 ",,KONSTANTIN.NIKOLOV100@teamleidos.mod.uk,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it intends to invite tenders for its Provision of Custom Made Orthotics.",01/12/2025,30/11/2029,01/01/1,NO,,Yes,No,No,,4000000,,,,,,,," ",
tender_466473/1409922,PreProcurement,"Ministry of Defence",Open,2024-09-30T17:16:29+01:00,"Project CARVER RFI","Contracts Finder - Early Engagement Notice for Project CARVER. 

Project CARVER aims to deliver modern and efficient training and support services that are agile and responsive to the changing Defence landscape. The training demand by type, volume and standard is determined by the Royal Navy, Army and Royal Air Force and agreed with the Defence College of Technical Training (DCTT) annually.

The aim of this RFI is to understand the current market position in relation to key themes, as outlined in the attached RFI document.

The Contract value is currently estimated at: £850M-£1Bn.",,"SN15 4XX","West Midlands,South West","80000000 ",,Harriet.Swift106@mod.gov.uk,"RAF Cosford",,Wolverhampton,"WV7 3EX",England,,,,"https://contracts.mod.uk/esop/guest/go/opportunity/detail?opportunityId=58814 ",,01/01/1,01/01/1,01/11/2024,YES,tender_466473/1409922,Yes,Yes,No,,,,,,,,,," ",
tender_446858/1392274,Pipeline,"Ministry of Defence",Open,2024-09-13T12:39:27+01:00,"712091450 Diving Life Support (DLS) In Service Support (ISS) Contracts Finder Future Opportunity","Defence Equipment and Support (DE&S) Salvage and Marine Operations (SALMO) Delivery Team (DT) have a requirement for the provision of In-Service Support (ISS) to the Diving Life Support (DLS) portfolio of equipment.

The DLS portfolio provides a diving capability to the UK Military, led by the Royal Navy, to support a full range of technical and support activities to enable the delivery of underwater Explosive Ordnance Disposal (EOD), underwater engineering, underwater search and engineering tasks in support of UK Defence Tasks.

The Authority are proposing that the DLS ISS requirement will be divided into the following three Lots:
Lot 1 - Diving Life Support (DLS) Diver&apos;s Dress and Dive Ancillaries
Lot 2 - Diving Life Support (DLS) In-Service Support to Diving Support Equipment
Lot 3 - Diving Life Support (DLS) In-Service Support to Dive Sets and Dived Equipment

The proposed Lots will require ISS as well as the ability to procure more/new equipment at the direction of the Authority.

The proposed DLS ISS contracts will be for five (5) years, with two (2) additional one (1) year options to extend. If all the options to extend are exercised by the Authority, each contract&apos;s duration will be a total of seven years.

This Prior Information Notice (PIN) is open to responses from companies that have suitable experience in the ISS of DLS equipment. An associated Request for Information (RFI) can be found at: https://www.contractsfinder.service.gov.uk/Notice/23ec975b-406e-4cf5-8981-ebfd732c5976

This PIN is not a means to seek formal expressions of interest; the opportunity for such may become available when the SALMO DT has an improved understanding of the market.

Tentative date to note (subject to change): 
Dynamic Pre-Qualification Qualification (DPQQ) and Contract Notice - Published October/November 2024
Invitation to Negotiate (ITN) - Published January 2025
Contract Award - September 2025

Estimated value of overall procurement is £55M (ex VAT). Broken down as follows:
Lot 1 - £ 13M (ex VAT)
Lot 2 - £ 15M (ex VAT)
Lot 3 - £ 28M (ex VAT)",,,"Any region","35113400 37412240 37412241 37412242 37412260 37412270 42123400 43328100 44611110 50000000 ","Marion Stone/Elizabeth Stephens",DESShipsComrcl-SALMO-Multiuser@mod.gov.uk,"Ministry of Defence Abbey Wood",,Bristol,"BS34 8JH",England,,,,,,01/09/2025,31/08/2032,01/01/1,NO,,Yes,Yes,No,,55000000,,,,,,,," ",
tender_464080/1403894,Contract,"Ministry of Defence",Open,2024-09-12T09:07:22+01:00,"Rapid Access Imaging & Surgery 712605452","The Authority has a requirement for rapid access to a diagnostic imaging capability and orthopaedic surgical treatment service.  The intent of the contract is to treat service personnel diagnosed with, or suffering from suspected musculo-skeletal disorders, with the aim of returning injured service personnel to a deployable health status at the earliest opportunity.  Delivery of the requirement may be met by one or more Suppliers.   

The Authority has a national integrated network of Rehabilitation Facilities.  These include the Defence Medical Rehabilitation Centre (DMRC) at Stanford Hall, 12 Regional Rehabilitation Units (RRUs) (Annex A) and 106 Primary Care Rehabilitation Facilities (PCRFs) based across the UK.

The requirement will be utilised for rapid access diagnostics or surgery falls out with the capability or timeliness of Defence or the NHS.  All referrals under this contract shall be made via Multi-disciplinary Injury Assessment Clinics (MIACs) which are conducted at RRU's and DMRC, and which are led by Sports & Exercise Consultants and Band 7 Physiotherapists.

REQUIREMENT

The Supplier is to provide the following three key outputs:

a.	Diagnostic Imaging

	30 Scans per month per RRU for access to a range of high-quality diagnostic imaging capabilities within 15 working days.

	All images and reports are available via the Image Exchange Portal (IEP).

b.	Orthopaedic Surgical Treatment 

	50 surgical procedures per month collectively across all RRUs and DMRC for access to high quality orthopaedic surgical intervention. 

c.	Accelerated Spinal Pathway 

	20 Spinal procedures per month collectively across all RRUs and DMRC to deliver a 2-week Referral to Treatment (RTT) pathway.

Diagnostic Imaging Centres should be available at locations which are convenient for patients to access, with at least one imaging location per RRU being made available under the contract.",,,"Any region","85000000 ",,jayne.jennings122@mod.gov.uk,"DMS Whittington",,Lichfield,"WS14 9PY",England,,,,,,01/07/2025,30/06/2030,17/10/2024,NO,,No,No,No,Services,21000000,,,,,,,,"OpenOJEU ",,10:00
tender_442882/1365677,Pipeline,"Ministry of Defence",Open,2024-06-13T16:31:35+01:00,"Application Development and Support","The Specialist EOD, Exploitation and Counter Measures (SEEC) Delivery Team within Defence Equipment and Support (DE&S) is preparing to initiate a competitive procurement for a contract for software development and support for the following:
-	Development and continued availability of an application store. 
-	Development and delivery of multiple Android applications (apps) and integration onto the application store. Applications may be standalone or used to monitor information from in-service sensors and/or equipment.
-	Integration of commercial off the shelf (COTS) applications onto the application store.

The suppliers will be required to support DE&S with rapid, insightful, and cost-effective decisions to ensure the sustainment of the UK defence operations. 

For more information, please follow this link -  https://www.find-tender.service.gov.uk/Notice/018376-2024",,,"Any region","72231000 ","Danielle Mills",deslestsp-seec-commercial@mod.gov.uk,"DE&S, Abbey Wood, #8207, Rowan 2C",,Bristol,"BS34 8JH",England,"030 01646473",,,,,01/01/2026,01/06/2032,01/01/1,NO,,Yes,No,No,,12000000,,,,,,,," ",
tender_466573/1408485,Contract,"Ministry of Defence",Open,2024-09-27T11:34:30+01:00,"Provision and Maintenance of White Fleet at Al Mussanah Air Base","Provision and Maintenance of White Fleet at Al Mussanah Air Base- an open competition for the provision and maintenance of vehicles in Oman. Further information can be found within the SOR. Bids due back 1700L on 29th October 24

https://contracts.mod.uk/esop/guest/go/opportunity/detail?opportunityId=58808",,,"Any region","34113000 ",,UKStratCom-Comrcl-PJHQ@mod.gov.uk,PJHQ,,Northwood,"HA6 3HP",England,,,"20240910-Annex B Technical Assessment Oman WF Dec 24-27.xlsx 20240910-Pricing Matrix BLANK Oman WF Dec 24-27.docx 20240912-SOR Oman WF Dec 24-27 (1).docx 20240925-DF47-O.docx 20240927-712810451- Oman white Fleet  ITT-O .docx 20240927-712810451-Oman WF DRAFT Contract-O.docx ",,,16/12/2024,16/12/2027,29/10/2024,NO,,Yes,No,No,Products,360000,,,,,,,,"OpenOJEU ",,14:00
